id,datetime,consumption
0,2019-02-01,243
0,2019-02-02,236
0,2019-02-03,335
0,2019-02-04,252
0,2019-02-05,220
0,2019-02-06,276
0,2019-02-07,277
0,2019-02-08,193
0,2019-02-09,262
0,2019-02-10,315
0,2019-02-11,224
0,2019-02-12,337
0,2019-02-13,219
0,2019-02-14,264
0,2019-02-15,384
0,2019-02-16,279
0,2019-02-17,343
0,2019-02-18,320
0,2019-02-19,410
0,2019-02-20,259
0,2019-02-21,313
0,2019-02-22,381
0,2019-02-23,222
0,2019-02-24,355
0,2019-02-25,383
0,2019-02-26,248
0,2019-02-27,314
0,2019-02-28,180
0,2019-03-01,208
0,2019-03-02,230
0,2019-03-03,354
0,2019-03-04,321
0,2019-03-05,319
0,2019-03-06,303
0,2019-03-07,243
0,2019-03-08,135
0,2019-03-09,266
0,2019-03-10,423
0,2019-03-11,545
0,2019-03-12,220
0,2019-03-13,209
0,2019-03-14,476
0,2019-03-15,324
0,2019-03-16,286
0,2019-03-17,225
0,2019-03-18,214
0,2019-03-19,406
0,2019-03-20,284
0,2019-03-21,380
0,2019-03-22,189
0,2019-03-23,293
0,2019-03-24,384
0,2019-03-25,228
0,2019-03-26,169
0,2019-03-27,287
0,2019-03-28,323
0,2019-03-29,459
0,2019-03-30,296
0,2019-03-31,399
0,2019-04-01,380
0,2019-04-02,307
0,2019-04-03,398
0,2019-04-04,516
0,2019-04-05,231
0,2019-04-06,438
0,2019-04-07,387
0,2019-04-08,309
0,2019-04-09,329
0,2019-04-10,333
0,2019-04-11,324
0,2019-04-12,362
0,2019-04-13,234
0,2019-04-14,212
0,2019-04-15,322
0,2019-04-16,282
0,2019-04-17,97
0,2019-04-18,234
0,2019-04-19,0
0,2019-04-20,0
0,2019-04-21,0
0,2019-04-22,0
0,2019-04-23,0
0,2019-04-24,0
0,2019-04-25,404
0,2019-04-26,364
0,2019-04-27,254
0,2019-04-28,201
0,2019-04-29,286
0,2019-04-30,270
0,2019-05-01,143
0,2019-05-02,276
0,2019-05-03,229
0,2019-05-04,302
0,2019-05-05,351
0,2019-05-06,321
0,2019-05-07,268
0,2019-05-08,177
0,2019-05-09,299
0,2019-05-10,338
0,2019-05-11,288
0,2019-05-12,463
0,2019-05-13,277
0,2019-05-14,332
0,2019-05-15,320
0,2019-05-16,410
0,2019-05-17,333
0,2019-05-18,224
0,2019-05-19,344
0,2019-05-20,382
0,2019-05-21,367
0,2019-05-22,372
0,2019-05-23,130
0,2019-05-24,134
0,2019-05-25,127
0,2019-05-26,336
0,2019-05-27,409
0,2019-05-28,208
0,2019-05-29,319
0,2019-05-30,143
0,2019-05-31,268
0,2019-06-01,243
0,2019-06-02,300
0,2019-06-03,331
0,2019-06-04,260
0,2019-06-05,518
0,2019-06-06,266
0,2019-06-07,148
0,2019-06-08,218
0,2019-06-09,549
0,2019-06-10,268
0,2019-06-11,241
0,2019-06-12,403
0,2019-06-13,279
0,2019-06-14,255
0,2019-06-15,154
0,2019-06-16,301
0,2019-06-17,210
0,2019-06-18,125
0,2019-06-19,104
0,2019-06-20,383
0,2019-06-21,198
0,2019-06-22,229
0,2019-06-23,526
0,2019-06-24,156
0,2019-06-25,470
0,2019-06-26,465
0,2019-06-27,386
0,2019-06-28,291
0,2019-06-29,450
0,2019-06-30,388
0,2019-07-01,341
0,2019-07-02,276
0,2019-07-03,184
0,2019-07-04,170
0,2019-07-05,354
0,2019-07-06,460
0,2019-07-07,351
0,2019-07-08,221
0,2019-07-09,539
0,2019-07-10,150
0,2019-07-11,178
0,2019-07-12,388
0,2019-07-13,245
0,2019-07-14,547
0,2019-07-15,229
0,2019-07-16,546
0,2019-07-17,295
0,2019-07-18,251
0,2019-07-19,194
0,2019-07-20,383
0,2019-07-21,349
0,2019-07-22,212
0,2019-07-23,272
0,2019-07-24,409
0,2019-07-25,250
0,2019-07-26,315
0,2019-07-27,313
0,2019-07-28,363
0,2019-07-29,249
0,2019-07-30,174
0,2019-07-31,391
0,2019-08-01,272
0,2019-08-02,292
0,2019-08-03,330
0,2019-08-04,222
0,2019-08-05,229
0,2019-08-06,264
0,2019-08-07,393
0,2019-08-08,298
0,2019-08-09,426
0,2019-08-10,159
0,2019-08-11,341
0,2019-08-12,418
0,2019-08-13,266
0,2019-08-14,217
0,2019-08-15,519
0,2019-08-16,367
0,2019-08-17,261
0,2019-08-18,203
0,2019-08-19,0
0,2019-08-20,0
0,2019-08-21,0
0,2019-08-22,0
0,2019-08-23,0
0,2019-08-24,0
0,2019-08-25,0
0,2019-08-26,0
0,2019-08-27,0
0,2019-08-28,0
0,2019-08-29,233
0,2019-08-30,304
0,2019-08-31,84
0,2019-09-01,253
0,2019-09-02,610
0,2019-09-03,379
0,2019-09-04,389
0,2019-09-05,273
0,2019-09-06,287
0,2019-09-07,398
0,2019-09-08,364
0,2019-09-09,265
0,2019-09-10,202
0,2019-09-11,256
0,2019-09-12,287
0,2019-09-13,243
0,2019-09-14,274
0,2019-09-15,438
0,2019-09-16,326
0,2019-09-17,238
0,2019-09-18,145
0,2019-09-19,349
0,2019-09-20,392
0,2019-09-21,180
0,2019-09-22,385
0,2019-09-23,347
0,2019-09-24,212
0,2019-09-25,305
0,2019-09-26,303
0,2019-09-27,190
0,2019-09-28,227
0,2019-09-29,339
0,2019-09-30,258
0,2019-10-01,335
