,id,datetime,consumption
0,0,2019-02-01,243
1,0,2019-02-02,236
2,0,2019-02-03,335
3,0,2019-02-04,252
4,0,2019-02-05,220
5,0,2019-02-06,276
6,0,2019-02-07,277
7,0,2019-02-08,193
8,0,2019-02-09,262
9,0,2019-02-10,315
10,0,2019-02-11,224
11,0,2019-02-12,337
12,0,2019-02-13,219
13,0,2019-02-14,264
14,0,2019-02-15,384
15,0,2019-02-16,279
16,0,2019-02-17,343
17,0,2019-02-18,320
18,0,2019-02-19,410
19,0,2019-02-20,259
20,0,2019-02-21,313
21,0,2019-02-22,381
22,0,2019-02-23,222
23,0,2019-02-24,355
24,0,2019-02-25,383
25,0,2019-02-26,248
26,0,2019-02-27,314
27,0,2019-02-28,180
28,0,2019-03-01,208
29,0,2019-03-02,230
30,0,2019-03-03,354
31,0,2019-03-04,321
32,0,2019-03-05,319
33,0,2019-03-06,303
34,0,2019-03-07,243
35,0,2019-03-08,135
36,0,2019-03-09,266
37,0,2019-03-10,423
38,0,2019-03-11,545
39,0,2019-03-12,220
40,0,2019-03-13,209
41,0,2019-03-14,476
42,0,2019-03-15,324
43,0,2019-03-16,286
44,0,2019-03-17,225
45,0,2019-03-18,214
46,0,2019-03-19,406
47,0,2019-03-20,284
48,0,2019-03-21,380
49,0,2019-03-22,189
50,0,2019-03-23,293
51,0,2019-03-24,384
52,0,2019-03-25,228
53,0,2019-03-26,169
54,0,2019-03-27,287
55,0,2019-03-28,323
56,0,2019-03-29,459
57,0,2019-03-30,296
58,0,2019-03-31,399
59,0,2019-04-01,380
60,0,2019-04-02,307
61,0,2019-04-03,398
62,0,2019-04-04,516
63,0,2019-04-05,231
64,0,2019-04-06,438
65,0,2019-04-07,387
66,0,2019-04-08,309
67,0,2019-04-09,329
68,0,2019-04-10,333
69,0,2019-04-11,324
70,0,2019-04-12,362
71,0,2019-04-13,234
72,0,2019-04-14,212
73,0,2019-04-15,322
74,0,2019-04-16,282
75,0,2019-04-17,97
76,0,2019-04-18,234
77,0,2019-04-19,0
78,0,2019-04-20,0
79,0,2019-04-21,0
80,0,2019-04-22,0
81,0,2019-04-23,0
82,0,2019-04-24,0
83,0,2019-04-25,404
84,0,2019-04-26,364
85,0,2019-04-27,254
86,0,2019-04-28,201
87,0,2019-04-29,286
88,0,2019-04-30,270
89,0,2019-05-01,143
90,0,2019-05-02,276
91,0,2019-05-03,229
92,0,2019-05-04,302
93,0,2019-05-05,351
94,0,2019-05-06,321
95,0,2019-05-07,268
96,0,2019-05-08,177
97,0,2019-05-09,299
98,0,2019-05-10,338
99,0,2019-05-11,288
100,0,2019-05-12,463
101,0,2019-05-13,277
